iter	Passed	Remaining
0	60	59967
1	60	30116
2	60	20157
3	60	15175
4	61	12183
5	61	10186
6	61	8781
7	62	7714
8	62	6879
9	62	6216
10	63	5666
11	63	5210
12	63	4829
13	63	4499
14	64	4215
15	64	3964
16	64	3747
17	65	3553
18	65	3378
19	65	3223
20	66	3081
21	66	2951
22	66	2833
23	66	2722
24	67	2621
25	67	2527
26	67	2440
27	67	2358
28	68	2285
29	69	2234
30	69	2168
31	69	2107
32	69	2048
33	70	1993
34	70	1943
35	70	1895
36	71	1851
37	71	1808
38	71	1767
39	72	1728
40	72	1690
41	72	1655
42	72	1621
43	73	1588
44	73	1556
45	73	1527
46	74	1503
47	74	1476
48	74	1449
49	74	1424
50	75	1399
51	75	1377
52	75	1354
53	76	1333
54	76	1313
55	76	1293
56	77	1273
57	77	1254
58	77	1236
59	77	1218
60	78	1201
61	78	1185
62	78	1169
63	78	1155
64	79	1140
65	79	1127
66	79	1113
67	80	1097
68	80	1085
69	80	1072
70	81	1060
71	81	1047
72	81	1036
73	81	1025
74	82	1014
75	82	1003
76	82	991
77	82	981
78	83	970
79	83	959
80	83	949
81	83	938
82	84	929
83	84	919
84	84	908
85	84	899
86	84	889
87	84	880
88	85	872
89	85	863
90	85	855
91	85	847
92	86	839
93	86	831
94	86	824
95	86	816
96	86	809
97	87	802
98	87	796
99	87	790
100	88	784
101	88	776
102	88	770
103	88	764
104	88	758
105	89	752
106	89	746
107	89	741
108	90	736
109	90	731
110	90	725
111	90	720
112	91	715
113	91	710
114	91	705
115	91	699
116	92	694
117	92	690
118	92	685
119	92	680
120	93	676
121	93	671
122	93	666
123	93	661
124	93	657
125	94	653
126	94	650
127	94	645
128	95	642
129	95	638
130	95	634
131	95	630
132	96	626
133	96	623
134	96	619
135	96	616
136	97	612
137	97	608
138	97	604
139	97	601
140	98	597
141	98	594
142	98	591
143	98	588
144	99	585
145	99	582
146	99	579
147	100	576
148	100	573
149	100	570
150	100	567
151	101	564
152	101	562
153	101	559
154	102	556
155	102	554
156	102	551
157	102	548
158	103	545
159	103	543
160	103	540
161	104	538
162	104	536
163	104	533
164	105	531
165	105	529
166	105	526
167	106	525
168	106	523
169	106	520
170	106	518
171	107	516
172	107	513
173	107	511
174	108	509
175	108	507
176	108	504
177	108	502
178	109	500
179	109	498
180	109	496
181	109	494
182	110	491
183	110	489
184	110	487
185	111	485
186	111	484
187	111	482
188	111	480
189	112	478
190	112	476
191	112	474
192	113	472
193	113	470
194	113	468
195	113	466
196	114	465
197	114	463
198	114	461
199	114	459
200	115	458
201	115	456
202	115	454
203	116	453
204	116	451
205	116	450
206	117	448
207	117	446
208	117	445
209	117	443
210	118	441
211	118	439
212	118	438
213	118	436
214	119	435
215	119	433
216	119	432
217	120	430
218	120	428
219	120	427
220	120	425
221	120	423
222	121	422
223	121	420
224	121	418
225	121	417
226	122	416
227	122	414
228	122	413
229	123	411
230	123	410
231	123	409
232	123	407
233	124	406
234	124	405
235	124	404
236	125	402
237	125	401
238	125	399
239	125	398
240	126	397
241	126	395
242	126	394
243	127	393
244	127	392
245	127	391
246	128	390
247	128	389
248	128	387
249	128	386
250	129	385
251	129	384
252	129	383
253	130	382
254	130	380
255	130	379
256	130	378
257	131	377
258	131	376
259	131	374
260	132	373
261	132	372
262	132	371
263	132	370
264	133	369
265	133	368
266	133	366
267	133	365
268	134	364
269	134	363
270	134	362
271	135	361
272	135	360
273	135	359
274	135	358
275	136	357
276	136	356
277	136	355
278	137	354
279	137	353
280	137	352
281	137	351
282	138	350
283	138	349
284	139	348
285	139	347
286	139	346
287	139	345
288	140	345
289	140	344
290	141	344
291	141	343
292	142	342
293	142	341
294	142	340
295	142	339
296	143	338
297	143	337
298	143	337
299	144	336
300	144	335
301	144	334
302	144	333
303	145	332
304	145	331
305	145	330
306	146	329
307	146	329
308	146	328
309	147	327
310	147	326
311	147	325
312	148	324
313	148	323
314	148	322
315	148	321
316	148	320
317	149	320
318	149	319
319	149	318
320	150	317
321	150	316
322	150	316
323	151	315
324	151	314
325	151	313
326	152	313
327	152	312
328	152	311
329	153	310
330	153	309
331	153	309
332	153	308
333	154	307
334	154	306
335	154	305
336	155	305
337	155	304
338	155	303
339	156	302
340	156	302
341	156	301
342	156	300
343	157	299
344	157	298
345	157	298
346	158	297
347	158	296
348	158	295
349	158	295
350	159	294
351	159	293
352	159	292
353	160	293
354	160	292
355	161	291
356	161	290
357	161	290
358	162	289
359	162	288
360	162	287
361	162	286
362	163	286
363	163	285
364	163	284
365	163	283
366	163	282
367	164	281
368	164	280
369	164	279
370	164	279
371	164	278
372	165	277
373	165	276
374	165	275
375	165	274
376	165	274
377	166	273
378	166	272
379	166	271
380	166	271
381	167	270
382	167	269
383	167	268
384	167	268
385	168	267
386	168	266
387	168	265
388	168	264
389	168	264
390	169	263
391	169	262
392	169	261
393	169	260
394	169	260
395	170	259
396	170	258
397	170	257
398	170	257
399	170	256
400	171	255
401	171	254
402	171	254
403	171	253
404	171	252
405	172	251
406	172	251
407	172	250
408	172	249
409	172	248
410	173	248
411	173	247
412	173	246
413	173	245
414	173	245
415	174	244
416	174	243
417	174	243
418	174	242
419	175	241
420	175	241
421	175	240
422	175	239
423	175	238
424	176	238
425	176	237
426	176	236
427	176	236
428	176	235
429	177	234
430	177	234
431	177	233
432	177	232
433	177	232
434	178	231
435	178	230
436	178	230
437	178	229
438	178	228
439	179	228
440	179	227
441	179	226
442	179	226
443	179	225
444	180	224
445	180	224
446	180	223
447	180	222
448	181	222
449	181	221
450	181	220
451	181	220
452	181	219
453	182	219
454	182	218
455	182	217
456	182	217
457	183	216
458	183	216
459	183	215
460	183	214
461	183	214
462	184	213
463	184	213
464	184	212
465	184	211
466	185	211
467	185	210
468	185	209
469	185	209
470	185	208
471	186	208
472	186	207
473	186	206
474	186	206
475	186	205
476	187	205
477	187	204
478	187	203
479	187	203
480	187	202
481	188	202
482	188	201
483	188	201
484	188	200
485	188	199
486	189	199
487	189	198
488	189	198
489	189	197
490	189	196
491	190	196
492	190	195
493	190	195
494	190	194
495	191	194
496	191	193
497	191	193
498	191	192
499	192	192
500	192	191
501	192	190
502	192	190
503	192	189
504	193	189
505	193	188
506	193	188
507	193	187
508	193	187
509	194	186
510	194	185
511	194	185
512	194	184
513	194	184
514	195	183
515	195	183
516	195	182
517	195	182
518	195	181
519	196	181
520	196	180
521	196	179
522	196	179
523	197	178
524	197	178
525	197	177
526	197	177
527	197	176
528	198	176
529	198	175
530	198	175
531	198	174
532	199	174
533	199	173
534	199	173
535	199	172
536	199	172
537	200	171
538	200	171
539	200	170
540	200	170
541	200	169
542	201	169
543	201	168
544	201	168
545	201	167
546	201	167
547	202	166
548	202	166
549	202	165
550	202	165
551	202	164
552	203	164
553	203	163
554	203	163
555	203	162
556	203	162
557	204	161
558	204	161
559	204	160
560	204	160
561	204	159
562	205	159
563	205	158
564	205	158
565	205	157
566	205	157
567	206	156
568	206	156
569	206	155
570	206	155
571	206	154
572	207	154
573	207	153
574	207	153
575	207	152
576	208	152
577	208	152
578	208	151
579	208	151
580	208	150
581	209	150
582	209	149
583	209	149
584	209	148
585	209	148
586	210	147
587	210	147
588	210	146
589	210	146
590	210	145
591	211	145
592	211	145
593	211	144
594	211	144
595	212	143
596	212	143
597	212	142
598	212	142
599	212	141
600	213	141
601	213	141
602	213	140
603	213	140
604	214	139
605	214	139
606	214	138
607	214	138
608	214	137
609	215	137
610	215	137
611	215	136
612	215	136
613	215	135
614	216	135
615	216	134
616	216	134
617	216	134
618	217	133
619	217	133
620	217	132
621	217	132
622	218	131
623	218	131
624	218	131
625	218	130
626	218	130
627	218	129
628	219	129
629	219	128
630	219	128
631	219	127
632	219	127
633	220	127
634	220	126
635	220	126
636	220	125
637	221	125
638	221	125
639	221	124
640	221	124
641	221	123
642	222	123
643	222	122
644	222	122
645	222	122
646	222	121
647	223	121
648	223	120
649	223	120
650	223	119
651	223	119
652	224	119
653	224	118
654	224	118
655	224	117
656	224	117
657	225	116
658	225	116
659	225	116
660	225	115
661	225	115
662	226	114
663	226	114
664	226	114
665	226	113
666	226	113
667	227	112
668	227	112
669	227	112
670	227	111
671	227	111
672	228	110
673	228	110
674	228	110
675	228	109
676	229	109
677	229	108
678	229	108
679	229	108
680	230	107
681	230	107
682	230	106
683	230	106
684	230	106
685	231	105
686	231	105
687	231	104
688	231	104
689	231	104
690	232	103
691	232	103
692	232	102
693	232	102
694	232	102
695	233	101
696	233	101
697	233	101
698	233	100
699	233	100
700	234	99
701	234	99
702	234	99
703	234	98
704	234	98
705	235	97
706	235	97
707	235	97
708	235	96
709	235	96
710	236	96
711	236	95
712	236	95
713	236	94
714	237	94
715	237	94
716	237	93
717	237	93
718	237	92
719	238	92
720	238	92
721	238	91
722	238	91
723	238	91
724	239	90
725	239	90
726	239	89
727	239	89
728	239	89
729	240	88
730	240	88
731	240	88
732	240	87
733	240	87
734	241	86
735	241	86
736	241	86
737	241	85
738	241	85
739	242	85
740	242	84
741	242	84
742	242	83
743	242	83
744	243	83
745	243	82
746	243	82
747	243	82
748	244	81
749	244	81
750	244	81
751	244	80
752	245	80
753	245	80
754	245	79
755	245	79
756	245	78
757	246	78
758	246	78
759	246	77
760	246	77
761	246	77
762	247	76
763	247	76
764	247	76
765	247	75
766	248	75
767	248	74
768	248	74
769	248	74
770	248	73
771	249	73
772	249	73
773	249	72
774	249	72
775	249	72
776	250	71
777	250	71
778	250	71
779	250	70
780	250	70
781	251	70
782	251	69
783	251	69
784	251	68
785	252	68
786	252	68
787	252	67
788	252	67
789	252	67
790	253	66
791	253	66
792	253	66
793	253	65
794	253	65
795	254	65
796	254	64
797	254	64
798	254	64
799	254	63
800	255	63
801	255	63
802	255	62
803	255	62
804	255	61
805	256	61
806	256	61
807	256	60
808	256	60
809	256	60
810	257	59
811	257	59
812	257	59
813	257	58
814	257	58
815	258	58
816	258	57
817	258	57
818	258	57
819	258	56
820	259	56
821	259	56
822	259	55
823	259	55
824	260	55
825	260	54
826	260	54
827	260	54
828	260	53
829	261	53
830	261	53
831	261	52
832	261	52
833	261	52
834	262	51
835	262	51
836	262	51
837	262	50
838	263	50
839	263	50
840	263	49
841	263	49
842	263	49
843	264	48
844	264	48
845	264	48
846	264	47
847	264	47
848	265	47
849	265	46
850	265	46
851	266	46
852	266	45
853	266	45
854	266	45
855	266	44
856	267	44
857	267	44
858	267	43
859	267	43
860	267	43
861	268	42
862	268	42
863	268	42
864	268	41
865	268	41
866	269	41
867	269	40
868	269	40
869	269	40
870	269	39
871	270	39
872	270	39
873	270	38
874	270	38
875	270	38
876	271	38
877	271	37
878	271	37
879	271	37
880	271	36
881	272	36
882	272	36
883	272	35
884	272	35
885	272	35
886	273	34
887	273	34
888	273	34
889	273	33
890	273	33
891	274	33
892	274	32
893	274	32
894	274	32
895	275	31
896	275	31
897	275	31
898	275	30
899	276	30
900	276	30
901	276	30
902	276	29
903	276	29
904	277	29
905	277	28
906	277	28
907	277	28
908	277	27
909	278	27
910	278	27
911	278	26
912	278	26
913	278	26
914	279	25
915	279	25
916	279	25
917	279	24
918	279	24
919	280	24
920	280	24
921	280	23
922	280	23
923	280	23
924	281	22
925	281	22
926	281	22
927	281	21
928	282	21
929	282	21
930	282	20
931	282	20
932	282	20
933	283	20
934	283	19
935	283	19
936	283	19
937	283	18
938	284	18
939	284	18
940	284	17
941	284	17
942	284	17
943	285	16
944	285	16
945	285	16
946	285	15
947	286	15
948	286	15
949	286	15
950	286	14
951	286	14
952	287	14
953	287	13
954	287	13
955	287	13
956	287	12
957	288	12
958	288	12
959	288	12
960	288	11
961	288	11
962	289	11
963	289	10
964	289	10
965	289	10
966	290	9
967	290	9
968	290	9
969	290	8
970	291	8
971	291	8
972	291	8
973	291	7
974	291	7
975	292	7
976	292	6
977	292	6
978	292	6
979	292	5
980	293	5
981	293	5
982	293	5
983	293	4
984	293	4
985	294	4
986	294	3
987	294	3
988	294	3
989	294	2
990	295	2
991	295	2
992	295	2
993	295	1
994	295	1
995	296	1
996	296	0
997	296	0
998	296	0
999	297	0
